TimeOfDay,PassengerVolume,HubCongestion,Season,Weather,TrackIncident,InfraFailure,DepartureDelay,SpeedRestriction,ArrivalDelay,CompensationClaim
Night,High,False,Spring,Snow,True,False,Minor,True,Major,True
Night,High,True,Spring,Clear,True,True,Major,True,NoDelay,False
MorningRush,Low,False,Autumn,Clear,True,True,Minor,False,Minor,False
MorningRush,High,False,Spring,Clear,False,False,Major,True,Minor,False
MorningRush,Low,True,Winter,Clear,True,True,Minor,True,Major,False
MorningRush,Low,False,Summer,Storm,False,True,Minor,True,Major,False
MorningRush,High,False,Autumn,Rain,False,False,Minor,True,Major,False
EveningRush,Low,True,Autumn,Clear,False,False,NoDelay,True,NoDelay,False
MorningRush,High,False,Autumn,Clear,False,False,Minor,False,Major,True
Night,High,False,Autumn,Clear,False,True,Major,True,Minor,False
MorningRush,Low,True,Spring,Snow,False,True,Minor,True,Major,False
Night,High,False,Spring,Rain,False,False,Major,True,Minor,False
MorningRush,Low,True,Autumn,Clear,False,False,NoDelay,True,NoDelay,False
MorningRush,Low,False,Summer,Storm,False,True,Major,True,Minor,False
EveningRush,Normal,True,Spring,Snow,True,False,Minor,True,Minor,True
EveningRush,Low,False,Autumn,Snow,True,False,Major,True,Minor,False
MorningRush,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
Night,Low,False,Spring,Clear,False,False,Minor,True,Major,False
EveningRush,Low,False,Spring,Snow,True,True,Minor,True,Major,False
MorningRush,High,False,Summer,Storm,False,True,NoDelay,True,NoDelay,False
Midday,Normal,True,Spring,Rain,True,False,Major,True,Minor,True
MorningRush,High,False,Spring,Snow,True,True,Major,True,Minor,False
Night,High,False,Autumn,Rain,True,True,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,True,Major,True
MorningRush,Low,False,Autumn,Storm,False,True,Minor,False,NoDelay,False
Night,Low,True,Spring,Clear,False,False,Minor,True,Major,False
EveningRush,Normal,True,Autumn,Clear,False,True,Minor,True,NoDelay,False
Night,Low,True,Spring,Storm,False,True,Major,True,Minor,True
Midday,High,False,Autumn,Clear,False,False,Minor,False,Minor,True
MorningRush,Low,True,Spring,Rain,False,False,NoDelay,True,NoDelay,False
MorningRush,High,True,Winter,Storm,False,False,Major,True,Minor,True
MorningRush,Low,False,Winter,Clear,True,False,Major,False,NoDelay,True
Night,High,False,Autumn,Clear,False,False,Major,True,Minor,True
MorningRush,Low,False,Autumn,Clear,True,True,Major,False,Major,True
Night,Normal,True,Spring,Clear,False,False,NoDelay,True,NoDelay,False
Midday,Normal,True,Autumn,Rain,False,True,NoDelay,False,Minor,True
EveningRush,Normal,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Winter,Snow,True,True,Major,False,Major,False
Night,Normal,True,Spring,Rain,True,False,Minor,True,NoDelay,True
Night,Low,False,Autumn,Clear,False,True,Major,True,Minor,False
MorningRush,High,True,Summer,Snow,False,False,NoDelay,True,NoDelay,False
Night,High,False,Spring,Snow,False,False,Major,True,Minor,False
MorningRush,Low,False,Autumn,Storm,True,True,NoDelay,True,NoDelay,True
Night,Low,True,Spring,Snow,False,False,Minor,True,Minor,True
MorningRush,Low,True,Autumn,Rain,False,True,Major,True,Minor,False
MorningRush,Low,True,Spring,Snow,False,True,Major,True,Minor,True
MorningRush,High,False,Winter,Clear,False,True,Minor,True,Major,False
Midday,Normal,True,Autumn,Snow,False,True,NoDelay,True,Minor,True
MorningRush,Low,True,Spring,Storm,False,False,Major,False,Minor,False
MorningRush,Low,False,Spring,Clear,False,False,Minor,True,Minor,False
Midday,High,False,Spring,Snow,True,False,Minor,True,NoDelay,False
MorningRush,Low,True,Spring,Rain,True,True,Major,True,Minor,False
MorningRush,Low,False,Summer,Rain,False,True,Minor,True,Major,True
Night,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
Night,High,False,Autumn,Rain,False,False,Minor,True,Major,True
EveningRush,Low,False,Autumn,Storm,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Snow,True,True,Major,False,NoDelay,False
Night,High,False,Winter,Snow,True,False,Minor,True,Major,False
MorningRush,Low,True,Autumn,Rain,False,False,Major,True,Minor,False
EveningRush,Normal,True,Spring,Storm,True,True,Major,True,Minor,True
Night,High,False,Autumn,Rain,False,False,Minor,True,NoDelay,False
Night,High,False,Spring,Snow,False,True,Major,True,Minor,True
EveningRush,Low,True,Spring,Snow,True,False,NoDelay,False,Minor,True
MorningRush,High,False,Autumn,Snow,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Snow,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Winter,Clear,False,False,Minor,False,Major,False
Night,Low,False,Autumn,Rain,False,True,Major,True,Minor,True
Night,High,False,Autumn,Storm,True,True,Major,False,NoDelay,False
Night,High,False,Autumn,Clear,False,True,Minor,True,Major,True
Midday,Normal,True,Spring,Snow,False,True,Major,False,Minor,False
MorningRush,High,False,Spring,Snow,False,True,Major,True,Minor,True
Midday,High,False,Autumn,Rain,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Autumn,Rain,True,False,Minor,True,Minor,True
MorningRush,Low,False,Autumn,Clear,False,False,Minor,True,NoDelay,False
Midday,Normal,True,Summer,Snow,False,True,Minor,True,NoDelay,True
Night,Low,True,Spring,Snow,False,False,Major,True,Minor,False
EveningRush,Normal,True,Spring,Rain,False,True,Minor,True,Major,False
Midday,High,False,Autumn,Rain,False,False,Minor,False,Minor,False
Night,High,False,Spring,Clear,True,True,NoDelay,True,NoDelay,False
Night,High,False,Winter,Clear,True,True,NoDelay,False,Minor,True
MorningRush,Low,True,Autumn,Rain,False,True,Minor,True,Major,True
Night,High,False,Autumn,Clear,True,True,Minor,True,Major,False
Night,High,False,Autumn,Clear,True,True,Minor,True,Minor,False
MorningRush,Low,False,Winter,Storm,True,False,Major,True,Minor,False
Night,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
Night,High,False,Winter,Storm,True,True,NoDelay,False,Minor,True
Night,High,True,Winter,Snow,False,True,Minor,True,Major,True
Night,Low,False,Winter,Storm,True,False,Minor,False,Minor,True
EveningRush,Normal,True,Winter,Clear,True,True,Minor,False,NoDelay,False
Midday,Normal,True,Winter,Storm,True,False,NoDelay,True,NoDelay,False
Midday,Low,True,Spring,Clear,False,False,Major,False,Minor,False
Night,High,False,Autumn,Clear,False,False,Minor,True,NoDelay,False
MorningRush,High,False,Autumn,Snow,False,True,Minor,True,Minor,False
EveningRush,Normal,True,Winter,Snow,False,True,Minor,True,Minor,True
EveningRush,Normal,True,Autumn,Rain,False,False,Minor,True,Minor,False
MorningRush,High,False,Spring,Snow,False,True,Major,True,NoDelay,False
MorningRush,High,False,Summer,Clear,False,False,Minor,False,NoDelay,False
EveningRush,Low,True,Spring,Snow,False,True,NoDelay,True,NoDelay,False
EveningRush,Low,False,Spring,Clear,True,False,Minor,False,NoDelay,False
MorningRush,Low,False,Autumn,Clear,False,False,Minor,False,Major,True
EveningRush,Normal,True,Autumn,Clear,False,False,NoDelay,True,NoDelay,False
Night,High,False,Spring,Rain,False,True,NoDelay,True,NoDelay,False
